r2,rmse,mae,mse,mape
0.022284899838089123,2.2215412758435588e-07,1.7922431492913457e-07,4.9352456402766275e-14,0.018526536656808066
0.2714625986029603,5.105519685127686e-07,3.5574672910975354e-07,2.606633125522631e-13,0.03626795376991797
0.2619397177704128,4.1938402626150393e-07,3.3961556944457756e-07,1.7588296148330983e-13,0.03483724015306721
0.3064660205168943,3.957706948797134e-07,3.0962827337317406e-07,1.566344429255712e-13,0.03412801542438628
-0.44254029933545835,2.802643530167797e-07,2.4704984202785737e-07,7.85481075719141e-14,0.02624889648969333
